id,text,user_id,created_at,retweet_count,reply_count,favorite_count,num_urls,name,description,user_created_at,statuses_count,followers_count,friends_count,favourites_count,label
11344015535,xuxa verde \xe9 a mais com\xe9dia do twitter =D,59507538,1270003630000L,0,0,0,0,Luiz Fernando R. N.,\xda\xfa\xfa\xfa Cha la la (8),1248365351000L,416,662,411,3,0
27248184140,Dilma - A Hist\xf3ria que o PT n\xe3o mostrar\xe1 na TV dilmanao dilman\xe3o http://is.gd/g0mrO,63871003,1286981466000L,0,0,0,1,fatima regato,,1249693799000L,629,1346,2001,0,0
28462330894,"You already know just what an opt-in is, right? It's that very little box which shows up on lots of sites ... http://bit.ly/baruTH [plz RT]",52996113,1287800345000L,0,0,0,1,Mike Rose,"How to grab laser-targeted Tweeters, on auto-pilot 24/7? TwitterListBuilder is Viral-Fast, White-Hat: & FREE",1246517665000L,3401,5488,5321,21,0
21508615729,"If youre into Internet MKTing, would you trade $1 for an incredible $788 of marketing info? http://bit.ly/pro2020",69744581,1282154039000L,0,0,0,1,Boss Free 4 Me,"I am a Christian, Mother, Wife, and Entrepreneur. I love to help others become financially free. I only work Win-Win. Find freedom from your day job here. ",1251507549000L,4156,4011,4403,0,0
6541923632,[8] You should check this site out if you want 100 followers a day http://tinyurl.com/ykha3ye .,65177403,1260475247000L,0,0,0,1,Ana Julia,"Eu n\xe3o sou o que eu fa\xe7o, eu sou o que eu sinto. :D",1250114794000L,479,899,1191,1,0
5858302587,sewaktu senang kita lebih menghargai kekayaan tetapi sewaktu susah kita akan lebih menghargai kesihatan #cek123 mobile banking,86866954,1258640243000L,0,0,0,0,ciddy,aduh pusiing :D,1257133764000L,3942,72,88,0,0
2763146206,Getting ready for DUB in LA this weekend! http://xurl.jp/9vw,54784761,1248203630000L,0,0,0,1,Haley Terrance,well im 19 years old im a mother of a beautiful babygirl named ALIVIAH shes 2 1/2 I LOVE YOU BABY!!!,1247023879000L,94,539,1639,0,0
6629563180,[20] Hey Get 100 followers a day using www.yumurl.com/GKpvMM . Its super fast!,89694639,1260713672000L,0,0,0,1,William Nunes,,1258117617000L,261,371,919,0,0
2568778618,http://bit.ly/Cash-4-Clunkers - Cash 4 Clunkers - Local Dealer is Accepting Clunkers 3 Weeks Earlier Than The Feds Planned #cash4clunkers,43747581,1247236512000L,0,0,0,1,Rodney Jones,"Sales Manager at Sarasota Ford Super Center come and see us for your next Car, Truck or SUV also follow @SarasotaFord",1243801037000L,146,570,1233,0,0
3840917829,"wow, it's so sad about MJ :(",70257280,1252419958000L,0,0,0,0,Eve  Rose,,1251678533000L,4523,150,1291,0,0
12496942887,Trabalho aprova regulamenta\xe7\xe3o de instrumentador cir\xfargico http://bit.ly/9zJAoj,85630245,1271737261000L,0,0,0,1,Radar P\xfablico,"Site administrado por Alessandro Teixeira. Temas em destaque: not\xedcias sobre economia pol\xedtica, educa\xe7\xe3o e esporte.",1256668396000L,1224,1494,1956,0,0
16206314352,"Forex Strategy Outlook: FX Volatility Decline Warns of Return to Rangebound Euro, US Dollar Markets http://tinyurl.com/2v6x5lj",14596967,1276586260000L,0,0,0,1,fxgenie,forex trader,1209536534000L,3203,2570,2638,0,0
2666509908,What Kind Of Music | Watch Live Girls On Cam Doing Naughty Erotic Sex Stuff JOIN FOR FREE CLICK HERE http://twurl.nl/ji5cwj 0248,56612338,1247731349000L,0,0,0,1,Karla Marrufo,,1247547769000L,32,48,593,0,0
8426356195,"Q:beijo conquistado ou robado ? ;D' A:Conquistado, nada roubado \xe9 boom :DD http://formspring.me/ammynascimento/q/98742566",48712444,1264888404000L,0,0,0,1,Ruama Nascimento,"Estudo, Trabalho, me divirto muuuuito, [aaa] ooi, muuito prazer, ta vendo aquele link ali em cima, olha l\xe1 e me add que voc\xea me conhece (: (y)",1245420052000L,4090,4872,5783,0,0
7956294274,"dglparnershomebiz RENEE SKIVER: Rules change, making it easier to convert to a Roth IRA - Southgate News Herald http://bit.ly/7DMGqd",62637115,1263928863000L,0,0,0,1,Diana,Get the tools to give YOU the edge in marketing.,1249337733000L,769,1123,1884,0,0
29223788152,ja quis dizer poucas e boas pra algu\xe9m e na hora n\xe3o conseguiu ? \u2014 sim http://4ms.me/94KLkY,79482809,1288478922000L,0,0,0,1,Carolina R\xe9gis ,,1254582789000L,4862,1989,2318,0,0
24782752417,"""When things are going to be difficult, all you have to do is changing it to be easy."" - Wilson Kanadi",67380452,1284748890000L,0,0,0,0,Nick Borg,I own a commercial construction business.,1250792012000L,87,365,1936,0,0
4546311201,This is a great way to market yourself http://bit.ly/feQBK,54353595,1254461771000L,0,0,0,1,Tony Max,We support Leader Dogs!  Make sure to check our site and donate today! :),1246918861000L,3803,2061,2275,0,0
20677916593,http://www.flogvip.net/awesome dasdsadsa,104896954,1281324592000L,0,0,0,1,Luana Da Costa..;*,,1263495229000L,2755,2431,3169,0,0
5498608319,And I thought about the psychic numbing involved in strategic projections of using hydrogen bombs or nuclear weapons of any kind.,88105950,1257567200000L,0,0,0,0,Veronica Flowers,Online Radio Station Guide,1257565642000L,35,460,824,0,0
13290777809,"wow, it's so sad about MJ :(",70257280,1272867254000L,0,0,0,0,Eve  Rose,,1251678533000L,4523,150,1291,0,0
3888029234,"wow, it's so sad about MJ :(",70257280,1252592441000L,0,0,0,0,Eve  Rose,,1251678533000L,4523,150,1291,0,0
5708390636,@cauanaparaty que cidade ? :D,56138977,1258204119000L,0,0,0,0,Amanda,,1247419071000L,588,2630,3855,0,0
5719004684,74 You should check this site out if you want 100 followers a day http://tinyurl.com/twrapid .,86341770,1258234502000L,0,0,0,1,tay,,1256918546000L,92,806,1865,0,0
29268887434,"repita 6 vezes ""quero mascar alho""  rapidamente  \u2014 uii,\' http://4ms.me/cs6gu9",79482809,1288524932000L,0,0,0,1,Carolina R\xe9gis ,,1254582789000L,4862,1989,2318,0,0
3509378433,New blog post: \u0e14\u0e39\u0e23\u0e32\u0e22\u0e01\u0e32\u0e23\u0e17\u0e35\u0e27\u0e35\u0e22\u0e49\u0e2d\u0e19\u0e2b\u0e25\u0e31\u0e07 \u0e15\u0e25\u0e01 6 \u0,24320335,1251103931000L,0,0,0,1,videoand.tv,,1237001320000L,4467,315,530,0,0
10013475228,"""when all is said and done... there is ALWAYS more said than done... get doing - stop saying"" Daniel Wagner",7732472,1267772469000L,0,0,0,0,Daniel Wagner,I am an internet marketing coach and mentor who can help you succeed making money online,1185440851000L,770,3274,3595,8,0
5029021795,"@MLMSpecialist Hi, and thanks for the follow. Visit me on FaceBook http://bit.ly/1MpWhj",14826060,1256077465000L,0,0,0,1,"Ron Smalley, MD(ret)",We seriously help people make money online the simple easy way with a dynamic program: http://abetterbiz.com for some interesting facts. ,1211155018000L,2467,3421,3575,0,0
9987821578,"New post, ""wheat companies / ETFs?"" - http://bit.ly/crHUHY",10788822,1267732229000L,0,0,0,1,Tim Thompson,I am a member of a network of stock investing educators. Check out more stock tips & resources on investing-information.com.,1196614406000L,6497,5902,5496,0,0
8159410061,"Aeeeee, achei um site que presta pra ganhar #MaisFollowers - esse funciona direitinho ->> http://bit.ly/5aZ1FY",76521735,1264360779000L,0,0,0,1,Ricky,,1253669992000L,55,466,1950,2,0
20173890083,"I always felt that my greatest asset was not my physical ability, it was my mental ability. Bruce Jenner",69744581,1280789608000L,0,0,0,0,Boss Free 4 Me,"I am a Christian, Mother, Wife, and Entrepreneur. I love to help others become financially free. I only work Win-Win. Find freedom from your day job here. ",1251507549000L,4156,4011,4403,0,0
5294147668,Let no man pull you low enough to hate him. \n \nMartin Luther King Jr.,84602929,1256927144000L,0,0,0,0,A.J.Pokua,"Here to bring all great african quotes to you from books, leaders,music and more ",1256307829000L,128,298,1105,0,0
3092493865,comi toda a lasanha o.o haha,61508731,1249248586000L,0,0,0,0,emanuela grech,oi,1248966046000L,619,506,780,2,0
10272806446,get your fill of my sexy pics http://is.gd/9RqDw,112429918,1268230652000L,0,0,0,1,hobo,,1265635855000L,6599,1670,1292,0,0
7967235421,Fuii Genteeee Bjus Pra Todos,83409327,1263949160000L,0,0,0,0,Gisele Assis ,,1255888921000L,128,696,1985,0,0
5298817742,"vo vender meu carro, e comprar um barco ! chuvendo poco aqui !",86402705,1256939652000L,0,0,0,0,SuperSincero,,1256939085000L,145,479,1124,0,0
10280622476,New blog post: \u0e14\u0e39\u0e25\u0e30\u0e04\u0e23\u0e22\u0e49\u0e2d\u0e19\u0e2b\u0e25\u0e31\u0e07 : \u0e0b\u0e34\u0e17\u0e04\u0e2d\u0e21 \u0e41\u0e1f\u0e01\u0,24320335,1268242010000L,0,0,0,1,videoand.tv,,1237001320000L,4467,315,530,0,0
3161109300,Father of &#39;body in car&#39; teen charged - The Sun - http://tinyurl.com/m2gy4x,47929648,1249534816000L,0,0,0,1,Steven Howard,,1245237866000L,1703,589,1963,0,0
